Content,Content_Length,product_related
"Yes. So roughly for Q2, because we're already halfway into it, we're going to be in the 40s. So we're still going to be negative. So I say 40%, it could be minus 42%, I can't tell you, but we're going to be in the 40s, could be 45s. In Q3, we're -- hopefully, we'll be back in the 20s. And hopefully, by the end of the year, we'll be back at 0. Right now, for the last couple of weeks, we've been hitting about 80% of the sales flow of last year. So we're selling at 80% of last year. Direct correlation with the stores opening up. So when the stores are opening up, then our sales go per city. The last city that we were down was Toronto, but now Toronto has opened up. So -- but again, all this is where 0 -- or this -- if there's a second closure of stores in the fall because then we'll go back down to what number of stores are closed. So this is based on the fact that stores remain open, there's no second closure. So I just want to put a big asterisk on that. So in the 40s this quarter, in the 20s, and then we should be back to 0 by the end of the year.",221,No
"So subsidies, $9 million, $1 million was for Q4. Reduction in costs, $7.5 million per quarter. We estimate 1/3 of that is going to be recurring $10 million. So when you do your models, you can take out $10 million of OpEx. And we should expect another $8 million of wage subsidies for Q2.",54,No
"So, we don't have the exact details here. Let me say it was a good mix of both. So, it wasn't dominated by either ATCA or media server. Whether it's 50-50, I don't know, but it was a good mix of both products.
  So both have just done extremely well over the last two years in terms of going out and competing and winning business out there. So competitively, I continue to like our position quite a bit on both products.",81,Yes
"So if we're thinking about the same one, not a lot of visibility into what will happen. I think our expectation is the wins that we have there are pretty solid and moving along pretty well. We believe we have technically superior product.
  So, I think overall we feel in a good position, and this may even open up some new opportunities for us down the road.",67,Yes
"Yes. In the second half of the year last year, we made really nice progress from a marketing perspective. So if you go to our website, there's a lot of good collateral there.
  We've got our sales team equipped for the last quarter or two, lined up a number of partners, and the funnel is growing really nicely in the defense space. That being said, as long as telecommunications is, defense might be a little bit longer in terms of the design cycle, but there are some pretty meaty programs out there that we believe ATCA is well suitable for.
  So, a couple of quarters into it, I'm pretty happy with the progress of the team, and it's an area that we're committed to, and we think we bring a lot of value and core competence for defense customers.
  So, Christie?",141,Yes
"So the 20% to 30% decline principally is in our legacy wireless business, which is principally NSN. We are seeing a share shift from legacy products to new ATCA-based products there. Included in the number is also commercial, and I think for commercial, that business is holding up relatively well for us.
  So principally, it's in the next-gen sort of custom CPU designs that we'd done a number of years ago. And I don't think there is a principle shift relative to what we've been thinking before. But I think this year is an important demarcation point from us as our new revenues eclipse the old revenues.",107,Yes
"We don't have a set timeline. We are still very happy with the flow of ideas that we have and ways that we can strategically grow the business. So I think until we get to the point of saying, boy, there's not a lot on the horizon for us to look at, that would make sense to grow the Company, I think we're going to keep pressing forward with what is a pretty interesting set of strategic growth opportunities, make sure we continue to do a good job diligencing those, and find things that will add well to the Company.
  So, no set timeline, but if we run into exhaust at some point, I imagine that might be possible.",119,No
"There is two elements to that. Luckily English is very much the lingua franca of the internet. When we're dealing with a customer, it is overwhelmingly likely that they kind of grew up in and around the internet and have a working knowledge of English so that we're able to conduct business. That being said, our people on the ground in Europe, I want to say cover between six and eight languages between them, and certainly when, again, as we're dealing in certain parts of Asia, language, you really do need that, but at an interface level where the one place where that manifests itself is web mail. When we're selling our email product, our hosted email service, if somebody is providing it to their end-users, we do have to provide a translated version. It is a tad limiting. So I think now we cover somewhere again between eight or nine different languages with our web mail interface, and that's something that we tend to expand on a sort of as-needed basis, based on customer demand.",176,Yes
"Yes I don't really -- we might have one company that I would say we're watching more and we're -- basically we're trying to do a landlord renegotiation, because it can't -- it's not using all of the space. Depending on how that goes, we might put some more cap on, we might not, et cetera. That's more ordinary course. I don't think there's anything -- we have most of the recession related restructuring issues behind us. We feel pretty good about what we have.
 And, frankly, with the merger and the follow-on offering and everything else, we haven't really done the cash balances at the portfolio company level. I will tell you that they're probably higher than they've been just because the portfolio -- we've had several portfolio companies that have elected to accumulate cash rather than delever, just because there's still some uncertainty out there, and -- but that -- we will calculate that and get back with you.",161,No
"Let me hit the first part of that, and then Todd will give you the cash balance number. The one issue you have with the SBIC funds is what I would call a cash geography issue. You have to overinvest cash down in those funds, and those -- the cash -- there are pretty severe restrictions with respect to how that cash can be invested. I think just treasuries and CDs, so you're really not earning anything on that. And when you're BDC like we are, SBA has more restrictive rules in terms of when and how you fund the equity component in those funds' capitalizations.
 It basically, simplistically, you have to pre-fund your equity in those funds before you can leverage that equity with SBA guaranteed debentures. Whereas if you weren't a BDC, you could obtain leverage with the security -- a future equity contributions or limited partner draws. You can't really do that so when we bought the second fund into the fold, we had to go ahead, and from our parent company, transfer $24 million down into that subsidiary. It left us with -- while we had plenty of cash overall in the consolidated balance sheet, it left us with a shortfall at the parent company. That's really what we needed to replenish. It was really what I would call more of a geography issue on the balance sheet.",232,No
"I think it's around $80 million currently and that includes marketable securities. We're obviously trying to earn a yield on that cash while we have it. But beyond some of the geography of cash mechanics that Vince just talked about, we are seeing a lot of opportunities to invest in the market. There certainly was an exchange offer element of the offering, but we're also positioning ourselves to take advantage of what we think will be a strong origination market in 2010 and beyond.",84,No
"I think, specifically, Vernon, the industries that you would probably expect, we're seeing revenue growth in. Some of the energy end markets are picking up. There's a lot going on in the Marcellus shale, which we have a relative concentration in the Gulf Coast, and things are picking up there. Some of the more defensive industries that we are in, like health care, are continuing to do well and training, that type of thing. We don't see a lot of meaningful pickup in our basic industrial services type sectors.",89,Yes
"What we're seeing, Vernon, is that -- the first piece of that comment was that we're seeing stabilization pretty much across the portfolio. We still have a couple of companies, the signed company in Vegas is a good example, where we're starting to see stabilization, but it's at a pretty low level. Most of our companies are still at reasonable levels of earnings and revenues and starting to see stabilization. Again, there's a handful or more of companies where we're starting to see order flow and backlog and those types of forward indicators really pick up, and some of that is end market specific. But I think in general, we're feeling a lot more bullish about where the companies are headed over the last quarter or so than we were earlier in 2009.",133,Yes
"Yes. I mean it's not precise as far as the second half, Carter. The second half, depending on where the fault volumes and originations come in the third quarter, we would expect a little bit of a pickup on margins, so that will carry us. Originally, our guidance improved a second to third quarter step-up. Now we see second quarter to third quarter flat, maybe up a little bit. And then fourth quarter looking more like the first. So there's really no precision around -- it's a marginal change in EBITDA from the first half to the second half.",99,No
"Let me -- it's a long question, Matt. Let me try to address the issues you brought up. From a fit and focus standpoint, we believe these businesses are better with somebody who can make the investments, because we are focused on improving our data and analytics position, as we have said in the past. In terms of generating interest out there, we have seen a fair amount of interest. If you really look at the competitive picture out there, there were four people in the tier one [Alltegrity and Crow], Lexus, Nexus and ourselves. Alltegrity and Crow combining it, they have scored a lot of interest in the marketplace that there is only a few companies that if anybody wants to create an enterprise in the background screening can get to. And we provide the best platform, in terms of a global presence, especially with the big presence we have in Asia-Pac. So the attraction is there, but I would like to underscore the fact that we do like the businesses. It's a question of fit and focus. If we do not find the right value, we're not going to settle for -- this is not a fire sale.",200,Yes
"It's hard to understand the way the origination data came out for the second quarter, because it was a pretty big spread between Freddy, Fanny and the MBA. And one of the things that we're seeing is that -- depending on which data that you look at, the large originators are not having as much traction as the smaller guys right now as far as the originations first quarter to second quarter. Our numbers are more tracking the smaller guys in most of the businesses -- the larger guys in most of our origination businesses, except for flood, which has a more diversified client base. They're on the lender side, sequential volumes are up 17% , and again, on the PNC side we're up 31% sequentially on flood concerns. So we're seeing sort of a smaller really increase to the large guys compared to the",145,Yes
"That's why, Matt, we're pleased in the quarter. We got placed on a couple of platforms on the R.E.O. side, and we're going to continue that focus in the third quarter and the balance of the year, so that eventually when the inventory flows through, we're in a very good position to profit from a revenue standpoint.",57,Yes
"We think it's just a matter of time. The amount of business that's going to flush through, is still there and growing, and we'll see. And we also make money over the entire span of the default spectrum, not just on the front end, but the back end. So during this period of time, we're still in a position to generate good revenues, but I think growth will come as we flush through all of the shadow inventory.",78,Yes
"Sure. I mean I think, Mickey, what you're referencing is really the challenging aspect of the primary new issuance market for CLO equity and CLO structures overall, which we agree with. Deep has been talking about this for some time. He has spoken at some conferences about this, and we agree. New issue equity generically is a challenging asset class. We have participated in some new issues, but most of our activity really over the course of the last year, 1.5 years has been in the secondary market where we see better opportunities.",93,Yes
"Sure, Mickey. You'll note that Oxford Lane, unlike Oxford Square, had a considerable volume of new purchases during the quarter. The 2 companies are affiliates by virtue of common managements -- management teams and affiliated advisors. So that was really -- the biggest issue for Oxford Lane, Mickey, was that we did a substantial amount of portfolio turnover during the quarter. And as a result, you saw that rise in effective yield.
 One thing that's also worth noting is that if you look at Page 5 of the investor presentation that was posted to the website this morning, you'll see that we're currently, which is as of June 30, carrying $102.3 million worth of noncash income-producing CLO equity. This is CLO equity that we've purchased, but which has yet to make its inaugural distribution to us as an owner. $55.6 million of that is expected to make initial distribution by 9/30, and $46.7 million is expected to make its inaugural distribution to us by December 31, 2019.",167,Yes
"Yes, no problem, Shane. So when we look at the relationship between revenue and direct costs, those 2 will move depending on the different arrangements we have with practitioners. So that's being impacted by -- we talked about Everything Dentures coming to business previously, so the different arrangements that we have with their procedures, the lab fees that are coming in. And also, we see a seasonal impact around December with the impact of [Logan's] coming in to support the higher volumes we see that are coming in December. So they have a different arrangement and those arrangements just determine where there's a mix between the revenue and direct costs. So that's been the driver that we've seen in this half.",121,Yes
"Yes. Thanks, Tanu. So when -- what we've done with this graph is really focused on the centers that have been part of the rollout plan in recent times. So previously, we had included centers from FY '11 that were probably a different footprint, a bit larger centers. So we focused on the centers that have rolled out. Obviously, there's going to be differences in costs. Also if you look, we have called out and previously discussed the fact that in recent times, we haven't seen fees increasing, so we haven't seen the health funds increasing their fees that come through to us. So that will also have an impact on how new centers ramp compared to centers from, say, year 2011 that were previously disclosed in here that would've had those sort of fee increases in. So they're some of the key factors, but I wouldn't read anything too much into it. I mean, we're happy with how these new centers have ramped. We think this cohort and the way we're reporting for it into '18 is more reflective and provides better information.",184,No
"I mean, we've always said that, Tanu, that the margin expansion and the impact of that mix will vary depending whether you open more or less centers. So if we opened 15, the impact of that mix would actually drag down your average growth across all the centers. If we open less over a period of time, yes, that would change that mix. So that's nothing different from what we've talked about previously.",73,Yes
"Yes, Tanu. So Phil talked about there's the mix issues that we see and there's lots of factors that contribute. What we are expecting is that there will be some pressure around fees that we see from health funds coming through in the second half of the year and that will be another factor, which is why we've downgraded to that 5% EBITDA growth.",64,No
"Mike, we're not some -- it depends if you're -- we're not saying in the half, what we're saying is that the half was impacted by 2 key adverse impacts that we were talking about. We saw the fees decline, we saw the telecommunication costs higher than we expected. I mean, those 2 items had a fairly significant impact in our EBITDA growth. Half-and-half would have been significantly higher if those 2 factors weren't contributors. So that's sort of the 1 main factor. I mean, every and -- but every rollout centers, whether we accelerate, decelerate, whether it's 10, 15 or 5, that will have an impact on that margin mix of the centers depending on the profile of where they are in their life cycle.",126,No
"Thank you, operator. We appreciate everyone taking the time today to join us. As operator mentioned, if there were any questions we did not address today, please contact our IR team. You can find their full contact information at the bottom of today's earnings release.
 As always, we'll keep you informed as we go forward. In early September, we will be in San Francisco at the eighth annual Gateway Conference. At the end of October, we'll be at the Dawson James Conference in Florida. So we look forward to driving the business forward and to continuing to keep you all informed as we make progress. Thanks again, and have a great evening.",112,No
"Yes, thank you, Christian. Great question. And as Mark indicated in his remarks, we are in the process of raising the working capital necessary to run operations to get to cash flow breakeven. Our Board has -- is pursuing that, and we've raised $285,000 in recent weeks and are continuing to pursue that. We are confident we will have the cash to fund our way to cash flow breakeven.",69,No
"Thanks, Karl, and thanks to each of you for your time and continued support as we move closer to more meaningful commercialization of our powerful SDC antimicrobial. I look forward to reporting back to you with our continuing progress on our next call. Thanks, and have a great rest of your day.",52,Yes
"Okay. Thanks, [Gloria]. I'll take the first one. As we've indicated in previous calls, with regard to online reprocessing, we had some stops and starts with trials on that. We did not get to the point where we were as successful as we expected to be, and there were some cost issues involved with that as well. What we shifted our focus to was testing on parts, pre-online reprocessing and then post-emergent chiller, and we have done a lot of testing on parts. We continue to look at testing on parts, but to be honest, over the past several months, we've had our limited sales and technical services resources really focused on our closest in opportunities, especially our produce processors and food transportation solution.
 On poultry, as we mentioned in our prepared remarks, we are focused on the front end of the supply chain in hatcheries, and we are also working with 2 strategic distributors who have specific expertise in poultry processing and distributing processing aids to poultry processors. We're working with them on a strategic arrangement where we could -- they would augment our efforts because our resources are stretched very thin right now with produce and food transportation. So we know there's an opportunity with parts, and we're bringing more resources to bear against that as we work with these strategic distributors.
 I'll now turn it over to Tom to answer the question about misting in high freezer areas.",241,Yes
"(foreign language) So I'll answer your first question. In terms of the total enrollment released last year, the gross number was 13,735 that's in my data book, maybe slightly different from the earnings release, you can refer back. So the breakdown shall be 8,352 students for our regular courses in our self-owned learning centers and 685 students are online students and 4,698 students for the short-term courses. And there is no student enrollment for Edge second quarter of last year.",80,Yes
"Felix, let me address your question on sales and marketing and administrative costs. I think for sales and marketing expenses, as we have explained in our first quarter earnings release, the margin impact will be around 1% as compared to last year. As of now, we are in very good control of expenses for developing new marketing channels as well as the control over the personnel costs in the sales and marketing team. So that is entirely in line with our expectations. There's a pretty dramatic increase in the administrative cost. It's primarily due to a grant of new option scheme in the second quarter. So the total noncash stock option-based compensation amounts to RMB 27 million in the second quarter. So if you take a close look at the change of our general and administrative costs in the second quarter, which was RMB 92 million as compared to RMB 55 million last year, it's an increase of RMB 37 million. So RMB 27 million is the stock option related expenses and RMB 10 million is actually the result of the increase in our professional fees, the fees paid to developing our blueprint and also professional fees in association with our acquisition initiatives. So the increase in the professional fees will be a onetime hit in the second quarter.",219,No
"Thank you, Alex, for your question. On the Shijiazhuang, our auditors is still in the final stage of reviewing their accounts. As a private company, there are lots of things to do in order to address some compliance issues such as social security, taxes that need to be paid and also tax payable to the government. So in terms of the top line, we would expect for the second half of this year it's likely to be roughly 1.5% of contribution to our top line for the second half of this year.",92,Yes
"Well, I think that there are probably 2 trends that are going on. One is that we have increased our focus on technologies, customer responsiveness and just our physical presence in order to drive volumes, and that is something that we articulated as a part of our 3-year growth program in April. So I think that our buying initiatives have definitely taken hold the interaction within the Pick-n-Pull operation and our recycling unit has given us significant traction. And so I think that, that has driven a big portion of that supply flow. I think the macro trend that we're seeing is that as you see the new car sales volumes -- you see the dealers being much more aggressive in selling new cars. And that trickles down into the used car markets. And when you look then at the average age of vehicles on the road, which is really at its peak, about 12 years, over 100,000 miles. The more aggressive pricing of used car vehicles is encouraging those people who are driving what is close to an end-of-life vehicle to trade up and that is pushing more end-of-life vehicles into the supply chain. So I think you've got 2 things, one of which we drove and one of which is a bit of a tailwind or breeze, if you will, at our back in terms of increasing supply flows.",231,Yes
"I think it depends upon the area and how impacted it is. So in places like Houston, I'm not sure that they've seen significant flows at this point. In Puerto Rico, where we have operations, we also haven't seen any significant impact right now. And I think in all of those cases, it will be relatively short-lived and won't affect national flows so I'm not sure at the end of the day, you're going to see a significant national impact.",80,No
"It will be 25% throughout the year based on our estimate because the way we account for taxes, you look at your projected full year rate and then you use that projection for each quarter throughout the year, and it only changes as your projection for your full year changes on a quarter-to-quarter basis. So 25% for each quarter based on our outlook guidance today but we will provide an update each quarter and throughout the year.",77,No
"Yes, Phil. It's Richard here. Good morning. As you know, we're aiming to grow our overall company-wide ferrous volumes by 30% over a 3-year period to fiscal '19. We achieved a 10% growth in fiscal '17, so we're on track with that 3-year objective and it's certainly our aim to continue that throughout fiscal '18, consistent with our first quarter outlook on ferrous volumes.",64,Yes
"We have put the -- we have triggered the MVNO with Verizon, and we're now working through the process of creating a business plan and some test processes that we plan to work through in this year to be ready to launch broadly next year. That isn't to say we wouldn't have any commercial activity this year, but to integrate a wireless business into a high volume transaction business that we already have is the major challenge.
 Now, we also have to enter into contracts with instrument providers and billing systems, and we have to consider our store front capability. We have 700 stores in the new company. Is that enough? Where should we be, from a retail perspective?
 And so we're still working through all of those issues. So in order to actually do it at a relatively small scale is pretty easy. The issue is, how do you do it at massive scale quickly?",156,No
"On rate increases, the goal here really was much more around standardization for things like the broadcast surcharge, and whatnot. So it wasn't about significant rate increases. Relative to the total amount of rate increase that was in 2016, what's in 2017 is really a small fraction of what it was in the prior year. And that's what I was trying to convey through the comments.
 The goal here is to drive customer relationship growth, and to drive high-quality growth. And if you look at legacy Charter, we're growing customer relationship growth at about 6%. We're growing residential revenue at around 6%. We think that's the right way, if you can go get it, to drive growth. And if you have pricing power today, it means that you are pricing power in the future. Our goal is to grow it now and to grow fast, and to create momentum in the marketplace.",152,No
"Sure. Look, we had a lot of headwinds in the previous administration, from a regulatory point of view, we got Title II. It didn't really affect us but had the potential of affecting us. I think that there's a good probability that could be reversed, which would be a good thing for us.
 We were prepared to live in that world, so it's better to live in a world where you have more visibility into your investments, and how they might be regulated in the future. The set top box issue was really about Google and other companies getting access to video content without paying for it, and that appears to not be an issue going forward. And so the general proposition for a better FCC has already manifested itself in the appointment of Ajit Pai as Chairman of the FCC, and the processes that he's reforming and reviewing all look to be better for us than the previous regime.",160,No
"I'll answer the last one. We think 5G-like products doesn't necessarily require fiber in every location. It requires a high capacity interconnection between the cells, and that can be wireless too, it can be fiber, and it can be coax. But it's a high capacity inter-cell connection, if that's what you mean by backhaul. And it can be -- there's more than one way to do it.",67,Yes
"Jason, from a financial perspective, just so it's clear to those thinking about the CapEx implications, we've been doing virtual and physical node splits for years. We continue to do it. And we've been going, particularly at TWC and even at Bright House for new builds and now at legacy Charter, new build with fiber to the premise. The things Tom is talking about are already in the numbers, and it's the type of activity we did today, and the boxes, we're actually buying with those IP capabilities at cheaper prices.",91,No
"And it's probably worth mentioning, in the Americas, we have 2 very talented new executives. One is John Auerbach, who oversees the Art &amp; Objects group. And the other -- and he's not here at the earnings call today. But the other, of course, is Val Carlotti. Among Val's many responsibilities is the Art &amp; Objects group. Val joined us from Goldman Sachs, and actually, this is day 4 for him. So I probably won't cold call him here in this earnings call. He's thanking me for that. But maybe we'll get him on the next call in middle market.",100,No
"Sure, sure. A lot of detail still needs to be hammered out and the Senate has to do its thing, and then they have to reconcile and all that. But I think thematically, we will be a net beneficiary from what's being discussed in 2 respects. First, if corporate rate in the United States goes from 35% to 20%, it is factually correct that the corporate tax rate on U.S. earnings is higher than all of the other geographies in which we generate earnings. And remember, we're a global company, so we generate a lot of money in Hong Kong, in Switzerland, in the U.K., all of which have high -- lower marginal rates than the United States. So 20% will benefit us in our tax rate for sure. And then the second place where we will benefit is in the onetime repatriation of cash that we have decided to keep offshore. And it looks like there's going to be some holiday, if you will, where we would be able to bring that back at an even lower rate, something like 12%, as what's being discussed. So in both of those respects, I think as a corporate entity, we're in a pretty good shape. Adam, let's talk about the clients?",210,No
"So Oliver, we don't really want to share more than we did in terms of the underlying stats than we did. And we don't really want to say much more about the sell-through rates than we did. However, I'd love to use the opportunity to give you a perspective. We've got Amy Cappellazzo here on the marketplace and how she sees major trends in the buyers at a high level and what she's seeing and how the market is changing. And I don't think her anecdotal answers will be materially different from the statistics you otherwise asked for and we probably aren't going to give you. So Amy?",108,No
"Very interesting question. Well, I'll give you my observation, and then I think we'll pass it over again to Allan and Amy and give you their perspective as well because they are closer to the market than I. And I would say a year ago, the conversations were fraught with significantly more uncertainty. And the sense was when you think about it that we either had just had Trump elected or he was just about to be elected and we thought he would not be elected. And so depending on which date -- the answer is going to slightly change by and which date you were 1 year ago. I don't -- I just don't remember what 1 year was, but let's...",122,No
"Yes. well, of course, it's important to see that with private sales, they ebb and flow, depending on the size of the transaction in a particular quarter. It's also important to see that, and we said this 3 or 4 quarters ago, that a critical component to strong secular growth on that is the object database, and we don't anticipate that coming online until the first quarter of 2018, which I think is consistent largely with what I said the last time we talked about it. So from our perspective, what you're seeing now is enhanced energy, focus, some terrific new talents. It's been there and making some good progress, but it's still in my mind early days on the private sale opportunity. Adam, maybe want to add anything?",129,Yes
"That is one of the reason -- the continuing resolution is one of the reasons why we haven't seen a pickup in infrastructure activity, because it maintained funding at the previous levels and just introduced some uncertainty which has caused some delays in project work at the state and local level. So it's unfortunate where the funds -- the increased funding was approved, it was appropriated, just hasn't gone to work yet due to these budget issues. So that -- and that's one of the reasons for our optimism later in the year where the higher funding would begin to go to work and have an impact. And then, once this year's resolution is resolved, they're going to have to go to work pretty quickly on our resolution for 2018, which should provide for an additional increase as provided for under the act.",143,No
"No. I mean, I think underlying level of demand would pretty closely match up with the spending statistics that we see in the private sector of nonresidential construction and the public sector, with the public sector continuing to drag at flat or even slightly lower spending levels and the private side being better. When you roll all of that together, I wouldn't think that it's more than a mid-single digit, high single-digit market growth expectation.",75,No
"Well, it's a phenomenon that we've been living with for the last several years, particularly following, I think it was the 2010 dumping case that the domestic wire rod producers filed and won against China. China has been the worst perpetrator in the world market of pushing dumped and subsidized wire rod. And when that product was shut out of the U.S., it went literally into every other market worldwide, and we think contending with PC strand imports that are produced from China using wire rod from many countries. So it's a phenomenon that we're living with, Chris, and I don't expect it to change, neither to get significantly worse or to improve.",113,Yes
"No. I would say that we haven't seen a significant pickup at this point, but the outlook is positive just considering some of the recent funding measures that have been approved providing for increased spending in certain markets, particularly Texas. The outlook there is real positive and then you are probably familiar with the funding increase that was recently approved out in California -- SB1 -- that provides for a substantial increase over a 10-year period. That obviously hasn't had an impact yet, but I think the outlook there is positive as well. And then there are a number of other states that have implemented fuel tax increases or other fee increases that should have a favorable impact as well, but I would say at this point, we really haven't seen the upside from those.",135,No
"I think that's a legitimate number. We -- this year we ran about 38% or, I believe 38.5% when it was finally wrapped. And then, next year, or this coming year we have six months of being in the Navy Yard, with the improved tax structure there. So, we should be able to get to 38% for the full-year. Although, remember, we probably will not correct that until fourth quarter, so we'll probably use the current tax rate for the first three quarters, and then true it up in the fourth quarter after we do all of the analysis.",99,No
"From the expense side, Kimberly, the opportunities are in the -- the store payroll reflects that pretty consistently as we did this last year based on our sales trend. The other opportunity is that we just converted our distribution center, or fulfillment center in South Carolina to Urban now is on our [TillTrays] order package, . And in the first day that they went live on the [TillTray], they processed the same number of orders as they had the previous day but with 40 less people. So you can kind of do the math on that. It's going to have substantial impact on the -- on this year's SG&amp;A.",109,Yes
"No, I think the issue is that the answer as you highlighted from a factual standpoint that our list pricing is actually substantially cheaper than of some our competitor's products. That being said, on some individual particular deals, that won't matter. As you'll see in general, list pricing is not as much of a factor in the content filtering market as it is in a lot of other markets. A lot of cases, on a deal by deal basis, the pricing that's going to be required in that space is dictated particular to the situation. 
 Although I don't think it is a broad-based phenomenon and in general we don't--we're not going to have to discount in all of these different deals, but there is enough of them that we have to be conscious of how we manage that discounting so that we don't create issues for us on the revenue recognition front. We have done that very well over the last year. We've been very disciplined and basically complete control of what discounting we do in order to maintain and protect the revenue recognition in our current core products.",189,Yes
"On the government deals, we had a couple of different deals. We did not lose them to competitors, it was mainly an issue around budget release on the federal government procurement cycles. So we do expect to ultimately close that business. It is a little bit hard to predict exactly when we should close that business so I can't give you a good, accurate prediction of when that business is going to close, but we did not lose it to competitors.",81,No
"I think our bigger challenges, we've got increasingly better at being able to displace our competitor's products. We invest a lot in material as well as programs and processes around doing that. But I think we're starting to run up against a ceiling of just customers existing depreciation cycles on equipment they purchased from our competitors in the last couple of years and they're not going to--I think we're going to win a lot of that business but we're not going to win it based on the cycle of that depreciation until it has been fully depreciated, most of those customer environments, I think we had a burst over the last year where customers had fully depreciated a lot of that kit and we drove out of that, but fundamentally, I think we're starting to run into those limitations an how rapidly we can turn out existing competitor's products and customer's environments.",152,Yes
"I think you'll start to see some contribution in fiscal Q1. I think it will get to be a much larger impact in fiscal Q2. My view hasn't changed that much in the last couple of months. Progress that we're seeing there looks to be very good. Our competitive analysis as well as understanding the features and the performance benefits we bring, all look pretty good right now.",68,Yes
"I don't think we have a changed view there. Obviously when we fell short on the revenue--as your operating through the quarter, you're expecting to hit that revenue. You build out a certain level of expense profile. It will take a bit for us to correct on that. As we grow revenue again, as we start pushing into these new markets, I would expect to be pushing back to that higher operating margin that we talked about in the Analyst Day. I don't see anything that's going to prevent us from getting there.",93,No
"Well, I can assure you that the Greek government will be very happy to do that. Of course, if they can do it. We are very closely monitoring the situation right now in the United States. Where, you might know that, there is a legislation pending in Washington where they are trying to do the same thing with the Italians. And, not only that, they are not only trying to block some of the sites that, offer illegal betting in the United States. But they are moving further, in trying to block a charging in credit cards of these illegal activities.
 We want to see how this will evolve in the United States. At the same time, we are lobbying in Brussels. And we are looking in ways to go to the Government, and present a very solid proposition of how they could interfere, as government, to block this illegal activity. We will have some news on that in the next two or three months, because we were told that Washington will have finished with this legislation, either positively or negatively, in the next two months.",186,No
"Yes, we have both the numbers and time-frame. We were always saying that it's not going to be a very big game. It is more an amusement game than a gambling one. And don't forget that, we need some time to train the Greek people to play the game. The game is totally unknown in Greece.
 The numbers are going to be limited in the first six months. But we estimate to will build it up slowly. And arrive at a number, which is close to our other games, excluding KINO and Stihima.
 Concerning the time-frame, we are on track, and we expect to launch before the end of this year.",111,Yes
"It was a special event and I assure you that the coupon of OPAP, during the World Cup, it was one of the most attractive coupons in Europe. I remind you that it did not contain only the World Cup we’ve also betting options under/over, live betting, penalties, red cards etc. But it also included Wimbledon games, the World Championship of Motorcycles, the Formula One in Indianapolis and many others. And I assure you that the number that you read, that OPAP made, of more than €420m in one month, was a result of this attractive coupon.",97,Yes
"Well, there is a large amount of preparation that has been done already. And, don't forget, we don't start from zero. We are totally monitoring this game for seven years right now. We have staff in OPAP that is very experienced, that knows how lotteries operate, knows the mentality of the Greek players, they know the game. We are not starting from zero. We will follow up an operation.
 And, as I said, we will be charged in the two years' period. We cannot be very efficient in the first two or three or six months, but we will definitely have good results in -– if we are just in a two-year period. That's our feeling.",116,No
"The payout in the second quarter was exceeding 70%. However, up to now, for the period starting from January 2005 to June 30, we have been close to 66%. That leaves us with an option of having 66% payout for the rest of the year.
 However there is one more issue, which has to be considered. Within the payout, is also containing includes the uncollected winning, which could amount up to €15m, €20m, which is around 1% for this year. Therefore, odds cannot be worsening in the rest of the year, not only because we have not exceeded targeted payout percentage, but also, because we have the custom, the [inaudible] of 1% of uncollected winning. Therefore, we do not expect to have any worsening in the attractiveness of our coupon.",130,Yes
"Excuse me, sorry. Frog in my throat. Just in the Corporate Center numbers for this quarter, there's a few unusual items. And you're directionally getting right, in the sense that we had some losses related to interest rate swaps used to hedge the interest rate risk in our Business Banking mortgage book and deposit book. 
 Now, the issue about that is that a vast bulk of the hedging activity goes into a cash flow model and that's fine. The piece that can't go in there, we have the situation where we have to mark-to-market the interest rate swaps, whilst clearly we can't mark-to-market the mortgages, etc., because they're on an accrual basis. So that was a swing factor of some significance in the quarter but over time, of course, normalizes out to zero. 
 There were also a few numbers in Corporate Center related to our foreign exchange option hedging strategy, which had a swing quarter-to-quarter of some CHF43m as well. Clearly, when we try and hedge out the tail risks in terms of foreign exchange movements and we saw obviously movements in the dollar during this quarter, which resulted in losses into the Corporate Center. 
 We had also some cash flow hedge in effectiveness, which was another CHF37m swing in the quarter as well, and a little bit related to the property write-down in New Jersey as well. So, clearly, we would not expect those to be recurring items in toto going forward.",243,No
"Fourth quarter, first quarter? Well, as we have indicated in our outlook statement, we have seen clearly positive sentiments. We had a good start. We do see full pipelines on the Investment Banking side and we continue to see substantial liquidity and good [peer rates] on the investment side. So that's why we feel comfortable in expecting another record year in terms of both financial results as well as overall performance for UBS Group. 
 Any other questions?",77,No
"Right. The hottest area at this stage is clearly Asia Pacific, where there is clearly a war for talent. And I guess it's fair to say that so far we have been successful in attracting the necessary talent to grow our business. We will, in the future, look more for unconventional sources, meaning people who have basic intrinsic skills for being successful but that may need some additional training, so we have recently established -- or launched the establishment of a resource center, of a campus in Singapore to train certified private wealth managers. 
 I guess, why can we attract them maybe better than others? It's relatively simple. We are a global leader and therefore I think, together with the brand positioning, we have financial advisors which are enough -- find it relatively easy to convince their clients then to follow. And I think that's, at the end, the most important argument for a financial advisor who is considering to change employer. He wants to go to a platform that has the capability, the breadth, the commitment of the institution, the scale and the brand positioning to be enabled to convince his clients to follow. I think that's probably at the heart of what makes us successful and what will continue -- will remain making us successful in attracting these corporate resources.",222,No
